batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
David Warner,run out (Rashid Khan),2,2.0,10,0.0,0.0,100.00,1359518,2,1
Priyam Garg,c Saha b Mohammed Shami,10,14.0,26,0.0,0.0,71.42,1359518,3,1
Rilee Rossouw,c Saha b Mohammed Shami,8,6.0,9,2.0,0.0,133.33,1359518,4,1
Manish Pandey,c Saha b Mohammed Shami,1,4.0,7,0.0,0.0,25.00,1359518,5,1
Axar Patel,c Rashid Khan b Sharma,27,30.0,43,2.0,1.0,90.00,1359518,6,1
Aman Hakim Khan,c Manohar b Rashid Khan,51,44.0,62,3.0,3.0,115.90,1359518,7,1
Ripal Patel,c Pandya b Sharma,23,13.0,32,2.0,1.0,176.92,1359518,8,1
Anrich Nortje,not out ,3,6.0,8,0.0,0.0,50.00,1359518,9,0
Kuldeep Yadav,not out ,0,1.0,1,0.0,0.0,0.00,1359518,10,0
Virat Kohli,st Pooran b Ravi Bishnoi,31,30.0,42,3.0,0.0,103.33,1359517,1,1
Faf du Plessis,c Pandya b Mishra,44,40.0,83,1.0,1.0,110.00,1359517,2,1
Anuj Rawat,c Mayers b Gowtham,9,11.0,13,0.0,0.0,81.81,1359517,3,1
Glenn Maxwell,lbw b Ravi Bishnoi,4,5.0,8,0.0,0.0,80.00,1359517,4,1
Suyash Prabhudessai,c Gowtham b Mishra,6,7.0,10,0.0,0.0,85.71,1359517,5,1
Dinesh Karthik,run out (Yash Thakur),16,11.0,25,1.0,1.0,145.45,1359517,6,1
Mahipal Lomror,lbw b Naveen-ul-Haq,3,4.0,7,0.0,0.0,75.00,1359517,7,1
Wanindu Hasaranga,not out ,8,7.0,14,1.0,0.0,114.28,1359517,8,0
Karn Sharma,c Gowtham b Naveen-ul-Haq,2,2.0,5,0.0,0.0,100.00,1359517,9,1
Mohammed Siraj,c Pooran b Naveen-ul-Haq,0,1.0,3,0.0,0.0,0.00,1359517,10,1
Josh Hazlewood,not out ,1,2.0,3,0.0,0.0,50.00,1359517,11,0
Yashasvi Jaiswal,c & b Arshad Khan,124,62.0,112,16.0,8.0,200.00,1359516,1,1
Jos Buttler,c sub (Ramandeep Singh) b Chawla,18,19.0,40,2.0,1.0,94.73,1359516,2,1
Sanju Samson,c Tilak Varma b Arshad Khan,14,10.0,15,1.0,1.0,140.00,1359516,3,1
Devdutt Padikkal, b Chawla,2,4.0,6,0.0,0.0,50.00,1359516,4,1
Jason Holder,c David b Archer,11,9.0,18,0.0,1.0,122.22,1359516,5,1
Shimron Hetmyer,c Yadav b Arshad Khan,8,9.0,14,0.0,1.0,88.88,1359516,6,1
Dhruv Jurel,c Tilak Varma b Meredith,2,3.0,6,0.0,0.0,66.66,1359516,7,1
Ravichandran Ashwin,not out ,8,5.0,20,1.0,0.0,160.00,1359516,8,0
Trent Boult,not out ,0,0.0,4,0.0,0.0,-,1359516,9,0
Ruturaj Gaikwad,st Sharma b Sikandar Raza,37,31.0,47,4.0,1.0,119.35,1359515,1,1
Devon Conway,not out ,92,52.0,103,16.0,1.0,176.92,1359515,2,0
Shivam Dube,c Shahrukh Khan b Arshdeep Singh,28,17.0,23,1.0,2.0,164.70,1359515,3,1
Moeen Ali,st Sharma b Chahar,10,6.0,12,2.0,0.0,166.66,1359515,4,1
Ravindra Jadeja,c Livingstone b Curran,12,10.0,15,0.0,0.0,120.00,1359515,5,1
MS Dhoni,not out ,13,4.0,8,0.0,2.0,325.00,1359515,6,0
Abhishek Sharma,c Warner b AR Patel,67,36.0,62,12.0,1.0,186.11,1359514,1,1
Mayank Agarwal,c Salt b Sharma,5,6.0,15,1.0,0.0,83.33,1359514,2,1
Rahul Tripathi,c Pandey b Marsh,10,6.0,12,0.0,1.0,166.66,1359514,3,1
Aiden Markram,c AR Patel b Marsh,8,13.0,21,0.0,0.0,61.53,1359514,4,1
Harry Brook,c AR Patel b Marsh,0,2.0,3,0.0,0.0,0.00,1359514,5,1
Heinrich Klaasen,not out ,53,27.0,50,2.0,4.0,196.29,1359514,6,0
Abdul Samad,c Salt b Marsh,28,21.0,21,1.0,2.0,133.33,1359514,7,1
Akeal Hosein,not out ,16,10.0,17,1.0,1.0,160.00,1359514,8,0
Narayan Jagadeesan,lbw b Mohammed Shami,19,15.0,16,4.0,0.0,126.66,1359513,1,1
Rahmanullah Gurbaz,c Rashid Khan b Noor Ahmad,81,39.0,80,5.0,7.0,207.69,1359513,2,1
Shardul Thakur,c Sharma b Mohammed Shami,0,4.0,13,0.0,0.0,0.00,1359513,3,1
Venkatesh Iyer,lbw b Little,11,14.0,27,0.0,0.0,78.57,1359513,4,1
Nitish Rana,c Tewatia b Little,4,3.0,5,1.0,0.0,133.33,1359513,5,1
